dataset	species	k	genomes	kmers	bc.seq.count	bc.cum.len	pa.seq.count	pa.cum.len	impr.seq.count	impr.cum.len
gc18	ngonorrhoeae	18	750	3189492	174223	6151283	52621	4084049	3.31090249140077	1.50617267324657
gc18	ngonorrhoeae	18	800	3230036	179179	6276079	54137	4150365	3.3097327151486	1.51217519422991
gc18	ngonorrhoeae	18	850	3254837	183429	6373130	55442	4197351	3.30848454240468	1.51836956213574
gc18	ngonorrhoeae	18	900	3272385	185549	6426718	56106	4226187	3.30711510355399	1.52068945363752
gc18	ngonorrhoeae	18	950	3291405	188516	6496177	57038	4261051	3.305094849048	1.52454805164266
gc18	ngonorrhoeae	18	1000	3301267	189977	6530876	57489	4278580	3.30458000660996	1.5264120338991
gc18	ngonorrhoeae	18	1050	3339013	195525	6662938	59216	4345685	3.30189475817347	1.53323077949736
gc18	ngonorrhoeae	18	1100	3358776	198761	6737713	60211	4382363	3.3010745544834	1.53746118247165
gc18	ngonorrhoeae	18	1102	3360103	198982	6742797	60279	4384846	3.30101693790541	1.53775001448169
gc31	ngonorrhoeae	31	1	2106588	2907	2193798	911	2133918	3.19099890230516	1.02806105951588
gc31	ngonorrhoeae	31	2	2174519	7177	2389829	2310	2243819	3.10692640692641	1.0650720936047
gc31	ngonorrhoeae	31	3	2177966	7491	2402696	2416	2250446	3.10057947019868	1.06765325628786
gc31	ngonorrhoeae	31	4	2184032	8135	2428082	2622	2262692	3.10259344012204	1.07309434956238
gc31	ngonorrhoeae	31	5	2186010	8366	2436990	2700	2267010	3.09851851851852	1.07497981923326
gc31	ngonorrhoeae	31	6	2208543	10253	2516133	3319	2308113	3.08918348900271	1.09012557010857
gc31	ngonorrhoeae	31	7	2208966	10314	2518386	3340	2309166	3.08802395209581	1.09060414019607
gc31	ngonorrhoeae	31	8	2368916	19818	2963456	6462	2562776	3.06685236768802	1.15634608721168
gc31	ngonorrhoeae	31	9	2433288	24480	3167688	7993	2673078	3.06267984486426	1.18503388228851
gc31	ngonorrhoeae	31	10	2462187	26485	3256737	8644	2721507	3.06397501156872	1.19666677322528
gc31	ngonorrhoeae	31	15	2559732	35249	3617202	11537	2905842	3.05530033804282	1.2448033994966
gc31	ngonorrhoeae	31	20	2584139	37415	3706589	12249	2951609	3.05453506408686	1.2557859120229
gc31	ngonorrhoeae	31	25	2650193	42501	3925223	13925	3067943	3.05213644524237	1.27943152789996
gc31	ngonorrhoeae	31	30	2658362	43122	3952022	14129	3082232	3.05202066671385	1.28219485100408
gc31	ngonorrhoeae	31	35	2688773	45526	4054553	14913	3136163	3.0527727486086	1.29283873319085
gc31	ngonorrhoeae	31	40	2694732	46152	4079292	15118	3148272	3.05278475988887	1.29572413057068
gc31	ngonorrhoeae	31	45	2702916	46904	4110036	15372	3164076	3.05126203486859	1.29896879847387
gc31	ngonorrhoeae	31	50	2748211	51141	4282441	16763	3251101	3.05082622442284	1.31722791755778
gc31	ngonorrhoeae	31	55	2750820	51485	4295370	16874	3257040	3.05114377148275	1.31879559354506
gc31	ngonorrhoeae	31	60	2757874	52270	4325974	17133	3271864	3.05083756493317	1.32217414904776
gc31	ngonorrhoeae	31	65	2769133	53458	4372873	17529	3295003	3.0496890866564	1.32712261566985
gc31	ngonorrhoeae	31	70	2824014	58453	4577604	19170	3399114	3.04919144496609	1.34670505314032
gc31	ngonorrhoeae	31	75	2837713	59879	4634083	19640	3426913	3.04882892057026	1.3522616418917
gc31	ngonorrhoeae	31	80	2849650	61212	4686010	20077	3451960	3.04886188175524	1.35749255495429
gc31	ngonorrhoeae	31	85	2860719	61940	4718919	20314	3470139	3.04912867972827	1.35986454721266
gc31	ngonorrhoeae	31	90	2868430	62689	4749100	20558	3485170	3.04937250705322	1.36265949724117
gc31	ngonorrhoeae	31	95	2872850	63084	4765370	20686	3493430	3.04959876244803	1.3640948866873
gc31	ngonorrhoeae	31	100	2877067	63457	4780777	20807	3501277	3.04979093574278	1.36543809587188
gc31	ngonorrhoeae	31	120	2908843	66130	4892743	21694	3559663	3.0483082880059	1.37449612505453
gc31	ngonorrhoeae	31	140	2918245	67269	4936315	22068	3580285	3.04825992387167	1.37874917778892
gc31	ngonorrhoeae	31	150	2933174	68919	5000744	22607	3611384	3.04856902729243	1.38471677340322
gc31	ngonorrhoeae	31	160	2973578	72309	5142848	23719	3685148	3.04856865803786	1.39556077530672
gc31	ngonorrhoeae	31	180	2989532	73667	5199542	24168	3714572	3.04812148295266	1.39976880243538
gc31	ngonorrhoeae	31	200	3027790	77406	5349970	25387	3789400	3.04904084767795	1.41182509104344
gc31	ngonorrhoeae	31	220	3033584	78114	5377004	25625	3802334	3.0483512195122	1.41413247757825
gc31	ngonorrhoeae	31	240	3042506	79015	5412956	25926	3820286	3.0477127208208	1.41689810658155
gc31	ngonorrhoeae	31	250	3114412	86042	5695672	28238	3961552	3.04702882640414	1.43773753316882
gc31	ngonorrhoeae	31	260	3200555	91684	5951075	30079	4102925	3.0481066524818	1.45044693724599
gc31	ngonorrhoeae	31	280	3253746	96355	6144396	31615	4202196	3.04776213822553	1.46218691369941
gc31	ngonorrhoeae	31	300	3297442	100768	6320482	33058	4289182	3.04821828301773	1.47358680512974
gc31	ngonorrhoeae	31	320	3363318	107848	6598758	35371	4424448	3.04905148285318	1.49143079543482
gc31	ngonorrhoeae	31	340	3393073	110524	6708793	36239	4480243	3.0498634068269	1.49741721598583
gc31	ngonorrhoeae	31	350	3420895	113449	6824365	37202	4536955	3.04954034729316	1.50417295300482
gc31	ngonorrhoeae	31	360	3446437	115783	6919927	37968	4585477	3.04948904340497	1.50909643642308
gc31	ngonorrhoeae	31	380	3496715	120990	7126415	39673	4686905	3.04968114334686	1.5204948681486
gc31	ngonorrhoeae	31	400	3512435	122485	7186985	40168	4717475	3.04931786496714	1.52348131150669
gc31	ngonorrhoeae	31	420	3522704	123423	7225394	40473	4736894	3.04951449114224	1.52534424456194
gc31	ngonorrhoeae	31	440	3587681	128950	7456181	42281	4856111	3.0498332584376	1.53542227514981
gc31	ngonorrhoeae	31	450	3600828	130426	7513608	42769	4883898	3.04954523135916	1.53844490609755
gc31	ngonorrhoeae	31	460	3629131	132320	7598731	43403	4931220	3.04863719097758	1.54094341765324
gc31	ngonorrhoeae	31	480	3663787	135489	7728457	44437	4996896	3.04901320971263	1.54665156128925
gc31	ngonorrhoeae	31	500	3687459	138045	7828809	45274	5045678	3.04910102928833	1.55158712070013
gc31	ngonorrhoeae	31	520	3716225	140869	7942295	46197	5102134	3.04931056129186	1.55666138913639
gc31	ngonorrhoeae	31	540	3734398	142863	8020288	46845	5139747	3.0496958053154	1.56044412302785
gc31	ngonorrhoeae	31	550	3750407	143974	8069627	47207	5166616	3.04984430275171	1.56187860680956
gc31	ngonorrhoeae	31	560	3762868	145093	8115658	47578	5190207	3.04958173945941	1.5636482321418
gc31	ngonorrhoeae	31	580	3781239	146705	8182389	48098	5224178	3.05012682440018	1.56625386807264
gc31	ngonorrhoeae	31	600	3816047	149809	8310317	49115	5289496	3.0501679731243	1.57109807815338
gc31	ngonorrhoeae	31	650	3843658	152631	8422588	50036	5344737	3.05042369493964	1.57586575354409
gc31	ngonorrhoeae	31	700	3878527	155972	8557687	51128	5412366	3.05061805664215	1.58113605029667
gc31	ngonorrhoeae	31	750	3901891	158436	8654971	51937	5460000	3.0505420028111	1.58515952380952
gc31	ngonorrhoeae	31	800	3962121	162496	8837001	53256	5559800	3.05122427519904	1.58944584337566
gc31	ngonorrhoeae	31	850	4006201	166827	9011011	54674	5646420	3.05130409335333	1.59588039855342
gc31	ngonorrhoeae	31	900	4032632	168771	9095762	55313	5692021	3.05119953717933	1.59798461741445
gc31	ngonorrhoeae	31	950	4064438	171585	9211988	56250	5751937	3.0504	1.6015453576769
gc31	ngonorrhoeae	31	1000	4080520	172935	9268570	56695	5781369	3.05026898315548	1.60317910861597
gc31	ngonorrhoeae	31	1050	4142538	178315	9491988	58446	5895917	3.05093590664887	1.60992564854627
gc31	ngonorrhoeae	31	1100	4176846	181519	9622416	59484	5961365	3.05156008338377	1.61412964983691
gc31	ngonorrhoeae	31	1102	4179243	181757	9631953	59558	5965982	3.05176466637563	1.61447905809974
sp18	spneumoniae	18	1	2017070	7108	2137906	1676	2045562	4.24105011933174	1.04514358401261
sp18	spneumoniae	18	2	2337159	30050	2848009	8926	2488901	3.36656957203675	1.14428376219062
sp18	spneumoniae	18	3	2622430	53913	3538951	16453	2902131	3.27678842764238	1.21943185886509
sp18	spneumoniae	18	4	2794283	72406	4025185	22296	3173315	3.24748833871546	1.26844797947887
sp18	spneumoniae	18	5	3003354	89129	4518547	27468	3470310	3.24483034804136	1.30205860571534
sp18	spneumoniae	18	6	3213725	103184	4967853	31798	3754291	3.24498396125542	1.32324665296324
sp18	spneumoniae	18	7	3327985	114385	5272530	35286	3927847	3.24165391373349	1.3423460740706
sp18	spneumoniae	18	8	3467044	124263	5579515	38327	4118603	3.24217914264096	1.35471056569424
sp18	spneumoniae	18	9	3580595	132483	5832806	40848	4275011	3.24331668625147	1.36439555360208
sp18	spneumoniae	18	10	3664756	140957	6061025	43465	4403661	3.24300011503509	1.37636048733088
sp18	spneumoniae	18	15	3903619	164818	6705525	50772	4766743	3.2462380839833	1.40673096913343
sp18	spneumoniae	18	20	4122848	186996	7301780	57591	5101895	3.24696567171954	1.43118978340401
sp18	spneumoniae	18	25	4288257	204483	7764468	62992	5359121	3.24617411734823	1.44883237381653
sp18	spneumoniae	18	30	4392436	215136	8049748	66244	5518584	3.24762997403538	1.45866185963646
sp18	spneumoniae	18	35	4455134	223086	8247596	68680	5622694	3.24819452533489	1.4668406283536
sp18	spneumoniae	18	40	4494744	227070	8354934	69893	5682925	3.24882320117894	1.47018199254785
sp18	spneumoniae	18	45	4552500	234301	8535617	72113	5778421	3.24908130295508	1.47715387992671
sp18	spneumoniae	18	50	4596235	239583	8669146	73716	5849407	3.25008139345597	1.48205553144105
sp18	spneumoniae	18	55	4738469	249964	8987857	76880	6045429	3.25135275754422	1.48671947019806
sp18	spneumoniae	18	60	4802232	257267	9175771	79090	6146762	3.252838538374	1.49278123994389
sp18	spneumoniae	18	65	4863632	264195	9354947	81147	6243131	3.25575806869016	1.49843836369924
sp18	spneumoniae	18	70	4972887	274372	9637211	84199	6404270	3.25861352272592	1.50481022817589
sp18	spneumoniae	18	75	5061791	285151	9909358	87431	6548118	3.26144045018357	1.51331390179591
sp18	spneumoniae	18	80	5100487	288336	10002199	88399	6603270	3.26175635470989	1.51473421501771
sp18	spneumoniae	18	85	5102962	288797	10012511	88542	6608176	3.26169501479524	1.51517014679996
sp18	spneumoniae	18	90	5523972	320477	10972081	97872	7187796	3.27445030243583	1.52648753526116
sp18	spneumoniae	18	95	5565938	325363	11097109	99361	7255075	3.27455440263282	1.5295650286179
sp18	spneumoniae	18	100	5638284	332991	11299131	101635	7366079	3.27634181138387	1.5339410560218
sp18	spneumoniae	18	120	5904456	362115	12060411	110363	7780627	3.28112682692569	1.55005644146674
sp18	spneumoniae	18	140	6140756	385843	12700087	117333	8135417	3.28844400126137	1.56108617419365
sp18	spneumoniae	18	150	6206344	394471	12912351	119974	8245902	3.28797072699085	1.56591128538758
sp18	spneumoniae	18	160	6315304	407188	13237500	123767	8419343	3.28995612723909	1.57227232576224
sp18	spneumoniae	18	180	6479285	424364	13693473	128899	8670568	3.29222104128038	1.5793051850813
sp18	spneumoniae	18	200	6513263	429839	13820526	130573	8733004	3.29194397003975	1.58256265541617
sp18	spneumoniae	18	220	6599507	440850	14093957	133864	8875195	3.29326779417917	1.58801660132538
sp18	spneumoniae	18	240	6638618	446398	14227384	135551	8942985	3.29321067347345	1.59089878826812
sp18	spneumoniae	18	250	6694416	453735	14407911	137759	9036319	3.29368680086238	1.5944447069653
sp18	spneumoniae	18	260	6738452	458770	14537542	139266	9105974	3.2941995892752	1.59648402246701
sp18	spneumoniae	18	280	6773363	464136	14663675	140876	9168255	3.29464209659559	1.5993965045693
sp18	spneumoniae	18	300	6795340	467784	14747668	142001	9209357	3.29423032232167	1.60137868474422
sp18	spneumoniae	18	320	6832119	472793	14869600	143496	9271551	3.29481658025311	1.60378775891973
sp18	spneumoniae	18	340	6880763	479427	15031022	145497	9354212	3.2950988680179	1.60687207003647
sp18	spneumoniae	18	350	6897587	482219	15095310	146349	9385520	3.29499347450273	1.60836160383229
sp18	spneumoniae	18	360	6920246	485702	15177180	147406	9426148	3.29499477633204	1.61011475737491
sp18	spneumoniae	18	380	6943360	489322	15261834	148505	9467945	3.29498670078449	1.61194789365591
sp18	spneumoniae	18	400	6967757	493080	15350117	149639	9511620	3.2951302802077	1.61382782323095
sp18	spneumoniae	18	420	6993996	497121	15445053	150859	9558599	3.29526909233125	1.61582811455947
sp18	spneumoniae	18	440	7035616	503460	15594436	152752	9632400	3.29593065884571	1.6189564386861
sp18	spneumoniae	18	450	7045909	504969	15630382	153217	9650598	3.29577657831703	1.61962833805739
sp18	spneumoniae	18	460	7087900	510366	15764122	154785	9719245	3.29725748619052	1.62194923576883
sp18	spneumoniae	18	480	7119579	515189	15877792	156257	9775948	3.29706189162725	1.62416903199567
sp18	spneumoniae	18	500	7194889	522492	16077253	158413	9887910	3.29828991307532	1.6259505800518
sp18	spneumoniae	18	520	7227684	527110	16188554	159796	9944216	3.29864327016947	1.6279366819868
sp18	spneumoniae	18	540	7274043	529927	16282802	160614	10004481	3.29938237015453	1.6275508944442
sp18	spneumoniae	18	550	7281811	530957	16308080	160930	10017621	3.29930404523706	1.62793940796922
sp18	spneumoniae	18	560	7292070	532614	16346508	161434	10036448	3.29926781223286	1.62871446153061
sp18	spneumoniae	18	580	7313522	536363	16431693	162568	10077178	3.29931474828995	1.63058477284017
sp18	spneumoniae	18	600	7362982	542622	16587556	164415	10158037	3.30031931393121	1.63294896445051
sp18	spneumoniae	18	616	7372346	544302	16625480	164948	10176462	3.29983994955986	1.63371906660684
sp31	spneumoniae	31	1	2031723	2246	2099103	721	2053353	3.11511789181692	1.0222806307537
sp31	spneumoniae	31	2	2440216	20726	3061996	6830	2645116	3.03455344070278	1.15760367409218
sp31	spneumoniae	31	3	2816478	39871	4012608	13152	3211038	3.03155413625304	1.24962955903979
sp31	spneumoniae	31	4	3064248	56266	4752228	18555	3620898	3.03239019132309	1.31244459247402
sp31	spneumoniae	31	5	3338112	69700	5429112	22983	4027602	3.03267632598007	1.34797628961352
sp31	spneumoniae	31	6	3603254	81426	6046034	26832	4408214	3.03466010733453	1.37153822387026
sp31	spneumoniae	31	7	3763558	91482	6508018	30132	4667518	3.03604141776185	1.39432092174042
sp31	spneumoniae	31	8	3942615	99957	6941325	32924	4930335	3.03599198153323	1.4078810060574
sp31	spneumoniae	31	9	4089254	107213	7305644	35311	5148584	3.03624932740506	1.41896179609772
sp31	spneumoniae	31	10	4209781	115274	7668001	37966	5348761	3.0362429542222	1.43360322138155
sp31	spneumoniae	31	15	4546809	136129	8630679	44816	5891289	3.03750892538379	1.46498991986304
sp31	spneumoniae	31	20	4859957	156473	9554147	51484	6404477	3.03925491414808	1.49179191368788
sp31	spneumoniae	31	25	5098477	172432	10271437	56704	6799597	3.04091422121896	1.51059496614285
sp31	spneumoniae	31	30	5249157	182837	10734267	60107	7052367	3.04185868534447	1.52208003355469
sp31	spneumoniae	31	35	5346890	190464	11060810	62629	7225760	3.04114707244248	1.53074693873032
sp31	spneumoniae	31	40	5402842	193881	11219272	63751	7315372	3.04122288277831	1.53365707171146
sp31	spneumoniae	31	45	5492515	200905	11519665	66044	7473835	3.0419871600751	1.54133252874863
sp31	spneumoniae	31	50	5558520	205791	11732250	67631	7587450	3.04285017225828	1.5462704861317
sp31	spneumoniae	31	55	5744187	215331	12204117	70739	7866357	3.0440209785267	1.55143187628021
sp31	spneumoniae	31	60	5838802	221874	12495022	72879	8025172	3.04441608693862	1.55697871646863
sp31	spneumoniae	31	65	5927186	227271	12745316	74647	8166596	3.04460996423165	1.56066444330049
sp31	spneumoniae	31	70	6080201	236769	13183271	77777	8413511	3.04420329917585	1.56691671289192
sp31	spneumoniae	31	75	6213754	246097	13596664	80831	8638684	3.04458685405352	1.57392769546843
sp31	spneumoniae	31	80	6266254	249083	13738744	81795	8720104	3.04521058744422	1.57552524602918
sp31	spneumoniae	31	85	6271107	249663	13760997	81982	8730567	3.04533922080457	1.57618594531146
sp31	spneumoniae	31	90	6810519	273418	15013059	89715	9501969	3.04762860168311	1.57999452534522
sp31	spneumoniae	31	95	6874928	278436	15228008	91361	9615758	3.04764615098346	1.58365133565133
sp31	spneumoniae	31	100	6978592	285104	15531712	93537	9784702	3.04803446764382	1.5873464516344
sp31	spneumoniae	31	120	7370715	312826	16755495	102572	10447875	3.04981866396288	1.60372276659129
sp31	spneumoniae	31	140	7704776	333301	17703806	109248	10982215	3.05086591974224	1.61204328999205
sp31	spneumoniae	31	150	7807825	341339	18047995	111875	11164074	3.0510748603352	1.6166137021306
sp31	spneumoniae	31	160	7970869	352911	18558199	115658	11440608	3.0513323764893	1.62213398099122
sp31	spneumoniae	31	180	8204642	367506	19229822	120447	11818051	3.05118433833968	1.62715679598946
sp31	spneumoniae	31	200	8264698	373468	19468738	122410	11936997	3.05095988889797	1.63095776936193
sp31	spneumoniae	31	220	8398167	383445	19901517	125650	12167666	3.0516912057302	1.63560677947603
sp31	spneumoniae	31	240	8463286	389292	20142046	127578	12290625	3.05140384705827	1.63881381133994
sp31	spneumoniae	31	250	8552118	396480	20446518	129908	12449357	3.05200603504018	1.64237542549386
sp31	spneumoniae	31	260	8617695	401087	20650305	131391	12559424	3.05262156464294	1.64420796686217
sp31	spneumoniae	31	280	8677992	406769	20881062	133256	12675671	3.05253797202377	1.64733385711889
