species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
hg38	pa	17	1	4350.7792	67803.18	compute-h-17-51.o2.rc.hms.harvard.edu	4350	69428.54
hg38	pa	18	1	5192.6741	75656.86	compute-h-17-50.o2.rc.hms.harvard.edu	5192	77541.708
hg38	pa	19	1	7339.3495	82836.59	compute-a-17-127.o2.rc.hms.harvard.edu	7339	85004.08
hg38	pa	20	1	5425.408	86437.94	compute-h-17-51.o2.rc.hms.harvard.edu	5425	88731.904
hg38	pa	21	1	5409.8235	88587.12	compute-h-17-51.o2.rc.hms.harvard.edu	5409	90767.616
hg38	pa	22	1	5141.808	89726.62	compute-h-17-50.o2.rc.hms.harvard.edu	5141	92099.164
hg38	pa	23	1	5777.7194	90917.07	compute-h-17-54.o2.rc.hms.harvard.edu	5777	93124.664
hg38	pa	24	1	6052.3879	91585.70	compute-h-17-54.o2.rc.hms.harvard.edu	6052	94002.304
hg38	pa	25	1	5353.9635	92353.13	compute-h-17-54.o2.rc.hms.harvard.edu	5353	94787.228
hg38	pa	26	1	7343.5288	93058.21	compute-a-17-111.o2.rc.hms.harvard.edu	7343	95509.172
hg38	pa	27	1	7243.0564	93713.22	compute-e-16-188.o2.rc.hms.harvard.edu	7242	96180.228
hg38	pa	28	1	6839.3134	94325.50	compute-e-16-243.o2.rc.hms.harvard.edu	6839	96808.784
hg38	pa	29	1	5844.366	95042.49	compute-h-17-50.o2.rc.hms.harvard.edu	5844	97396.024
hg38	pa	30	1	8564.2443	95484.46	compute-a-17-132.o2.rc.hms.harvard.edu	8564	97953.124
hg38	pa	31	1	6917.0899	95955.97	compute-a-16-123.o2.rc.hms.harvard.edu	6916	98477.92
hg38	pa	32	1	7934.7166	96442.53	compute-a-17-122.o2.rc.hms.harvard.edu	7934	98975.328
spneumoniae	bc	11	1	77.8738	187.29	compute-e-16-240.o2.rc.hms.harvard.edu	77.61	1110
spneumoniae	bc	12	1	88.5948	1095.59	compute-e-16-241.o2.rc.hms.harvard.edu	88.32	1118.508
spneumoniae	bc	13	1	94.247	177.17	compute-f-17-13.o2.rc.hms.harvard.edu	94.05	1095.944
spneumoniae	bc	14	1	69.828	177.57	compute-e-16-189.o2.rc.hms.harvard.edu	69.66	1119.124
spneumoniae	bc	15	1	62.0898	175.37	compute-e-16-241.o2.rc.hms.harvard.edu	61.99	894.068
spneumoniae	bc	16	1	65.6446	172.72	compute-e-16-182.o2.rc.hms.harvard.edu	65.58	596.556
spneumoniae	bc	17	1	55.3857	406.70	compute-e-16-188.o2.rc.hms.harvard.edu	55.33	486.912
spneumoniae	bc	18	1	59.1206	169.49	compute-f-17-12.o2.rc.hms.harvard.edu	58.88	412.08
spneumoniae	bc	19	1	59.1008	190.25	compute-e-16-182.o2.rc.hms.harvard.edu	59.05	412.112
spneumoniae	bc	20	1	57.3971	165.54	compute-e-16-239.o2.rc.hms.harvard.edu	57.32	393.204
spneumoniae	bc	21	1	53.8743	333.59	compute-e-16-188.o2.rc.hms.harvard.edu	53.81	377.196
spneumoniae	bc	22	1	52.8567	189.15	compute-e-16-188.o2.rc.hms.harvard.edu	52.8	370.524
spneumoniae	bc	23	1	58.2943	180.66	compute-e-16-238.o2.rc.hms.harvard.edu	58.24	349.08
spneumoniae	bc	24	1	55.7385	161.82	compute-e-16-241.o2.rc.hms.harvard.edu	55.68	332.62
spneumoniae	bc	25	1	55.452	159.86	compute-e-16-183.o2.rc.hms.harvard.edu	55.39	315.664
spneumoniae	bc	26	1	52.7109	221.07	compute-e-16-188.o2.rc.hms.harvard.edu	52.64	315.816
spneumoniae	bc	27	1	53.8263	158.03	compute-e-16-241.o2.rc.hms.harvard.edu	53.76	298.444
spneumoniae	bc	28	1	55.672	191.39	compute-e-16-239.o2.rc.hms.harvard.edu	55.61	293.144
spneumoniae	bc	29	1	66.1238	184.38	compute-f-17-11.o2.rc.hms.harvard.edu	66.05	300.604
spneumoniae	bc	30	1	56.5288	181.64	compute-e-16-187.o2.rc.hms.harvard.edu	56.47	289.936
spneumoniae	bc	31	1	50.3436	156.31	compute-e-16-188.o2.rc.hms.harvard.edu	50.29	266.928
spneumoniae	bc	32	1	106.4135	201.63	compute-e-16-186.o2.rc.hms.harvard.edu	106.35	308.992
spneumoniae	bc	11	4	58.8228	197.74	compute-a-16-136.o2.rc.hms.harvard.edu	58.56	1081.012
spneumoniae	bc	12	4	59.8384	201.38	compute-a-16-155.o2.rc.hms.harvard.edu	59.54	1129.568
spneumoniae	bc	13	4	50.5205	202.53	compute-f-17-12.o2.rc.hms.harvard.edu	50.36	645.796
spneumoniae	bc	14	4	37.9974	191.18	compute-a-16-87.o2.rc.hms.harvard.edu	37.86	1139.724
spneumoniae	bc	15	4	34.7312	191.70	compute-a-16-108.o2.rc.hms.harvard.edu	34.63	913.704
spneumoniae	bc	16	4	34.8794	184.58	compute-a-16-132.o2.rc.hms.harvard.edu	34.81	227.964
spneumoniae	bc	17	4	34.5084	184.28	compute-e-16-187.o2.rc.hms.harvard.edu	34.45	539.616
spneumoniae	bc	18	4	27.0059	188.15	compute-e-16-189.o2.rc.hms.harvard.edu	26.95	466.268
spneumoniae	bc	19	4	27.7806	181.54	compute-a-16-59.o2.rc.hms.harvard.edu	27.65	501.864
spneumoniae	bc	20	4	30.4176	186.49	compute-a-17-121.o2.rc.hms.harvard.edu	30.29	407.328
spneumoniae	bc	21	4	26.2778	179.16	compute-e-16-238.o2.rc.hms.harvard.edu	26.23	378.752
spneumoniae	bc	22	4	25.751	182.61	compute-e-16-180.o2.rc.hms.harvard.edu	25.7	371.892
spneumoniae	bc	23	4	41.3082	156.99	compute-e-16-192.o2.rc.hms.harvard.edu	39.73	184.836
spneumoniae	bc	24	4	24.6235	188.06	compute-e-16-191.o2.rc.hms.harvard.edu	24.58	353.888
spneumoniae	bc	25	4	30.2396	171.99	compute-e-16-185.o2.rc.hms.harvard.edu	30.18	378.084
spneumoniae	bc	26	4	25.3923	175.29	compute-e-16-191.o2.rc.hms.harvard.edu	25.33	340.3
spneumoniae	bc	27	4	23.4899	171.06	compute-f-17-14.o2.rc.hms.harvard.edu	23.45	371.548
spneumoniae	bc	28	4	28.5903	175.41	compute-a-16-136.o2.rc.hms.harvard.edu	28.55	340.076
spneumoniae	bc	29	4	24.8601	169.90	compute-f-17-14.o2.rc.hms.harvard.edu	24.81	367.28
spneumoniae	bc	30	4	24.1678	168.41	compute-e-16-189.o2.rc.hms.harvard.edu	24.11	345.652
spneumoniae	bc	31	4	25.7158	166.86	compute-e-16-186.o2.rc.hms.harvard.edu	25.64	330.376
spneumoniae	bc	32	4	36.3668	183.36	compute-a-16-134.o2.rc.hms.harvard.edu	36.3	317.928
spneumoniae	pa	11	1	1.5885	63.53	compute-e-16-239.o2.rc.hms.harvard.edu	1.55	63.388
spneumoniae	pa	12	1	3.6982	90.22	compute-a-16-163.o2.rc.hms.harvard.edu	3.63	91.624
spneumoniae	pa	13	1	2.5801	99.66	compute-e-16-239.o2.rc.hms.harvard.edu	2.55	101.516
spneumoniae	pa	14	1	2.3851	105.39	compute-e-16-188.o2.rc.hms.harvard.edu	2.35	105.992
spneumoniae	pa	15	1	2.4798	106.23	compute-f-17-12.o2.rc.hms.harvard.edu	2.44	106.848
spneumoniae	pa	16	1	2.4194	105.98	compute-e-16-184.o2.rc.hms.harvard.edu	2.38	106.592
spneumoniae	pa	17	1	3.0756	104.99	compute-e-16-242.o2.rc.hms.harvard.edu	3.02	106.44
spneumoniae	pa	18	1	2.4224	107.16	compute-e-16-191.o2.rc.hms.harvard.edu	2.39	107.804
spneumoniae	pa	19	1	2.2644	107.54	compute-e-16-187.o2.rc.hms.harvard.edu	2.23	108.192
spneumoniae	pa	20	1	2.169	107.73	compute-e-16-243.o2.rc.hms.harvard.edu	2.14	108.38
spneumoniae	pa	21	1	3.5827	105.75	compute-f-17-11.o2.rc.hms.harvard.edu	3.55	106.732
spneumoniae	pa	22	1	2.4254	105.64	compute-f-17-12.o2.rc.hms.harvard.edu	2.39	108.54
spneumoniae	pa	23	1	2.6833	106.79	compute-f-17-16.o2.rc.hms.harvard.edu	2.64	107.42
spneumoniae	pa	24	1	2.5325	105.63	compute-f-17-14.o2.rc.hms.harvard.edu	2.49	108.664
spneumoniae	pa	25	1	2.8175	106.22	compute-e-16-243.o2.rc.hms.harvard.edu	2.78	106.84
spneumoniae	pa	26	1	2.0126	105.23	compute-e-16-187.o2.rc.hms.harvard.edu	1.98	108.664
spneumoniae	pa	27	1	2.8329	106.22	compute-f-17-11.o2.rc.hms.harvard.edu	2.79	107.036
spneumoniae	pa	28	1	2.909	105.99	compute-f-17-11.o2.rc.hms.harvard.edu	2.85	107.08
spneumoniae	pa	29	1	2.8258	106.01	compute-e-16-182.o2.rc.hms.harvard.edu	2.79	109.016
spneumoniae	pa	30	1	3.2735	107.23	compute-e-16-189.o2.rc.hms.harvard.edu	3.24	107.872
spneumoniae	pa	31	1	2.7585	123.50	compute-e-16-243.o2.rc.hms.harvard.edu	2.72	124.54
spneumoniae	pa	32	1	3.0166	124.37	compute-f-17-14.o2.rc.hms.harvard.edu	2.96	125.592
yeast	bc	11	1	153.4134	199.70	compute-f-17-16.o2.rc.hms.harvard.edu	152.23	1104.132
yeast	bc	12	1	270.918	373.11	compute-e-16-190.o2.rc.hms.harvard.edu	269.86	1143.712
yeast	bc	13	1	399.4235	511.09	compute-e-16-182.o2.rc.hms.harvard.edu	398.52	1130.512
yeast	bc	14	1	355.0702	1119.80	compute-e-16-188.o2.rc.hms.harvard.edu	353.6	1144.496
yeast	bc	15	1	307.8734	592.46	compute-e-16-188.o2.rc.hms.harvard.edu	307.61	1117.24
yeast	bc	16	1	302.7414	1101.48	compute-e-16-186.o2.rc.hms.harvard.edu	302.49	1124.556
yeast	bc	17	1	279.1266	1126.69	compute-e-16-183.o2.rc.hms.harvard.edu	279.03	1150.364
yeast	bc	18	1	263.038	572.59	compute-e-16-181.o2.rc.hms.harvard.edu	262.94	1148.892
yeast	bc	19	1	249.1829	565.24	compute-e-16-188.o2.rc.hms.harvard.edu	249.05	1107.004
yeast	bc	20	1	270.9667	762.96	compute-f-17-14.o2.rc.hms.harvard.edu	270.8	1110.168
yeast	bc	21	1	261.3588	1026.03	compute-e-16-183.o2.rc.hms.harvard.edu	261.23	1082.396
yeast	bc	22	1	229.008	662.84	compute-e-16-188.o2.rc.hms.harvard.edu	228.9	1059.292
yeast	bc	23	1	256.8281	956.07	compute-e-16-241.o2.rc.hms.harvard.edu	256.71	1002.584
yeast	bc	24	1	263.7805	528.43	compute-e-16-238.o2.rc.hms.harvard.edu	263.66	989.556
yeast	bc	25	1	288.4553	523.73	compute-e-16-186.o2.rc.hms.harvard.edu	287.96	813.272
yeast	bc	26	1	253.8359	830.23	compute-e-16-241.o2.rc.hms.harvard.edu	253.72	902.332
yeast	bc	27	1	257.7728	516.05	compute-e-16-241.o2.rc.hms.harvard.edu	257.64	831.02
yeast	bc	28	1	238.0112	510.87	compute-e-16-190.o2.rc.hms.harvard.edu	237.88	813.868
yeast	bc	29	1	257.8364	508.64	compute-e-16-183.o2.rc.hms.harvard.edu	257.72	814.028
yeast	bc	30	1	242.5943	504.36	compute-e-16-188.o2.rc.hms.harvard.edu	242.49	814.264
yeast	bc	31	1	245.4285	503.40	compute-e-16-188.o2.rc.hms.harvard.edu	245.3	814.268
yeast	bc	32	1	480.2688	613.29	compute-e-16-241.o2.rc.hms.harvard.edu	480.14	990.464
yeast	bc	11	4	94.2897	220.23	compute-e-16-241.o2.rc.hms.harvard.edu	93.85	1164.74
yeast	bc	12	4	203.9095	197.59	compute-a-16-50.o2.rc.hms.harvard.edu	203	1134.4
yeast	bc	13	4	269.0864	1158.35	compute-f-17-16.o2.rc.hms.harvard.edu	265.04	1182.78
yeast	bc	14	4	205.6178	334.55	compute-e-16-184.o2.rc.hms.harvard.edu	204.61	1155.84
yeast	bc	15	4	136.1018	254.75	compute-e-16-190.o2.rc.hms.harvard.edu	135.67	1167.208
yeast	bc	16	4	119.231	322.16	compute-e-16-180.o2.rc.hms.harvard.edu	118.99000000000001	1148.668
yeast	bc	17	4	111.0845	315.24	compute-a-17-87.o2.rc.hms.harvard.edu	110.96000000000001	1130.508
yeast	bc	18	4	96.9567	311.45	compute-e-16-189.o2.rc.hms.harvard.edu	96.85	1131.856
yeast	bc	19	4	92.6591	313.11	compute-e-16-192.o2.rc.hms.harvard.edu	92.53	1127.5
yeast	bc	20	4	90.8772	309.24	compute-e-16-238.o2.rc.hms.harvard.edu	90.65	1134.388
yeast	bc	21	4	94.0786	309.45	compute-e-16-186.o2.rc.hms.harvard.edu	93.88	1143.188
yeast	bc	22	4	102.2868	236.13	compute-a-16-99.o2.rc.hms.harvard.edu	102.17	1077.588
yeast	bc	23	4	108.742	268.26	compute-a-17-85.o2.rc.hms.harvard.edu	108.50999999999999	1047.468
yeast	bc	24	4	108.3242	325.34	compute-e-16-192.o2.rc.hms.harvard.edu	108.19	330.432
yeast	bc	25	4	84.7915	822.50	compute-e-16-188.o2.rc.hms.harvard.edu	84.69	986.752
yeast	bc	26	4	91.1234	291.43	compute-a-16-87.o2.rc.hms.harvard.edu	91.03	909.28
yeast	bc	27	4	90.7401	272.52	compute-a-16-155.o2.rc.hms.harvard.edu	90.6	875.184
yeast	bc	28	4	87.2104	284.57	compute-e-16-240.o2.rc.hms.harvard.edu	87.1	860.184
yeast	bc	29	4	94.4942	261.93	compute-f-17-16.o2.rc.hms.harvard.edu	94.24000000000001	853.912
yeast	bc	30	4	98.7515	282.16	compute-a-17-104.o2.rc.hms.harvard.edu	98.53999999999999	740.268
yeast	bc	31	4	83.4534	725.88	compute-e-16-192.o2.rc.hms.harvard.edu	83.34	787.324
yeast	bc	32	4	175.6867	368.71	compute-e-16-187.o2.rc.hms.harvard.edu	175.55	790.716
yeast	pa	11	1	3.8452	98.88	compute-e-16-188.o2.rc.hms.harvard.edu	3.81	99.316
yeast	pa	12	1	8.1032	239.82	compute-a-16-66.o2.rc.hms.harvard.edu	8.06	243.648
yeast	pa	13	1	11.3484	339.58	compute-e-16-242.o2.rc.hms.harvard.edu	11.32	345.796
yeast	pa	14	1	11.9819	479.42	compute-e-16-180.o2.rc.hms.harvard.edu	11.94	488.992
yeast	pa	15	1	16.986	498.62	compute-a-17-76.o2.rc.hms.harvard.edu	16.93	508.656
yeast	pa	16	1	18.0759	508.35	compute-a-16-111.o2.rc.hms.harvard.edu	18.03	518.612
yeast	pa	17	1	18.0302	511.85	compute-e-16-185.o2.rc.hms.harvard.edu	17.99	522.204
yeast	pa	18	1	13.2853	513.29	compute-f-17-12.o2.rc.hms.harvard.edu	13.25	523.676
yeast	pa	19	1	15.145	513.99	compute-e-16-193.o2.rc.hms.harvard.edu	15.11	524.396
yeast	pa	20	1	15.3417	514.43	compute-a-17-67.o2.rc.hms.harvard.edu	15.29	524.848
yeast	pa	21	1	16.1339	514.77	compute-e-16-239.o2.rc.hms.harvard.edu	16.1	525.192
yeast	pa	22	1	15.8989	515.03	compute-e-16-243.o2.rc.hms.harvard.edu	15.86	525.464
yeast	pa	23	1	14.6033	515.27	compute-e-16-193.o2.rc.hms.harvard.edu	14.56	525.704
yeast	pa	24	1	17.2224	515.48	compute-e-16-192.o2.rc.hms.harvard.edu	17.19	525.92
yeast	pa	25	1	17.1184	515.67	compute-e-16-184.o2.rc.hms.harvard.edu	17.08	526.116
yeast	pa	26	1	18.5462	515.85	compute-a-16-88.o2.rc.hms.harvard.edu	18.49	526.292
yeast	pa	27	1	16.4597	516.00	compute-e-16-192.o2.rc.hms.harvard.edu	16.41	526.46
yeast	pa	28	1	14.9987	516.16	compute-f-17-15.o2.rc.hms.harvard.edu	14.96	526.616
yeast	pa	29	1	24.8206	515.95	compute-a-16-136.o2.rc.hms.harvard.edu	24.75	526.76
yeast	pa	30	1	16.1315	516.44	compute-e-16-240.o2.rc.hms.harvard.edu	16.1	526.9
yeast	pa	31	1	19.0502	516.57	compute-e-16-242.o2.rc.hms.harvard.edu	19	527.032
yeast	pa	32	1	17.777	516.69	compute-a-17-112.o2.rc.hms.harvard.edu	17.72	527.156
