species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
bombyx	pa	23	1	693.9255	16402.62	compute-a-17-106.o2.rc.hms.harvard.edu	693.89	16794.348
bombyx	pa	24	1	542.2211	16402.81	compute-e-16-186.o2.rc.hms.harvard.edu	542.17	16794.548
bombyx	pa	25	1	568.3595	16402.28	compute-e-16-241.o2.rc.hms.harvard.edu	568.31	16794.016
bombyx	pa	26	1	586.6534	16402.27	compute-a-17-127.o2.rc.hms.harvard.edu	586.6	16793.996
bombyx	pa	27	1	680.8927	16402.29	compute-a-16-137.o2.rc.hms.harvard.edu	680.82	16794.02
bombyx	pa	28	1	769.5043	16402.28	compute-a-16-97.o2.rc.hms.harvard.edu	769.44	16794.004
bombyx	pa	29	1	597.0726	16402.29	compute-e-16-188.o2.rc.hms.harvard.edu	597.03	16794.016
bombyx	pa	30	1	844.0598	16402.29	compute-a-16-162.o2.rc.hms.harvard.edu	844	16794.012
bombyx	pa	31	1	666.5505	16402.28	compute-a-16-151.o2.rc.hms.harvard.edu	666.49	16794.02
bombyx	pa	32	1	676.378	16402.69	compute-a-17-106.o2.rc.hms.harvard.edu	676.32	16794.416
celegan	bc	11	1	225.686	703.49	compute-e-16-190.o2.rc.hms.harvard.edu	225.05	1087.528
celegan	bc	12	1	611.3309	1063.00	compute-e-16-240.o2.rc.hms.harvard.edu	609.13	1085.156
celegan	bc	13	1	1544.636	1184.75	compute-f-17-15.o2.rc.hms.harvard.edu	1530.48	1434.284
celegan	bc	14	1	2285.7917	2068.32	compute-e-16-186.o2.rc.hms.harvard.edu	2277.88	2688.5
celegan	bc	15	1	3040.6916	2845.82	compute-a-16-63.o2.rc.hms.harvard.edu	3035.24	3852.88
celegan	bc	16	1	3101.9514	3359.06	compute-f-17-12.o2.rc.hms.harvard.edu	3084.71	4672.576
celegan	bc	17	1	2792.604	4799.21	compute-e-16-189.o2.rc.hms.harvard.edu	2789.83	5173.168
celegan	bc	18	1	2725.1283	3762.63	compute-f-17-16.o2.rc.hms.harvard.edu	2720.02	5460.508
celegan	bc	19	1	2684.6696	3803.22	compute-e-16-193.o2.rc.hms.harvard.edu	2683.17	5621.972
celegan	bc	20	1	2575.1712	3794.61	compute-f-17-13.o2.rc.hms.harvard.edu	2572.78	5714.596
celegan	bc	21	1	2345.3042	3758.19	compute-e-16-184.o2.rc.hms.harvard.edu	2344.81	5770.852
celegan	bc	22	1	2417.9815	3715.78	compute-e-16-238.o2.rc.hms.harvard.edu	2417.44	5806.848
celegan	bc	23	1	2463.8007	4337.92	compute-f-17-13.o2.rc.hms.harvard.edu	2462.84	5831.984
celegan	bc	24	1	2348.2975	3644.78	compute-e-16-240.o2.rc.hms.harvard.edu	2347.95	5854
celegan	bc	25	1	2341.1718	3613.93	compute-e-16-183.o2.rc.hms.harvard.edu	2340.82	5870.316
celegan	bc	26	1	2258.4166	5388.98	compute-e-16-183.o2.rc.hms.harvard.edu	2258.11	5885.668
celegan	bc	27	1	2395.7531	3564.39	compute-e-16-239.o2.rc.hms.harvard.edu	2395.47	5899.38
celegan	bc	28	1	2166.594	3540.54	compute-e-16-185.o2.rc.hms.harvard.edu	2166.3	5912.024
celegan	bc	29	1	2349.2552	3519.19	compute-e-16-240.o2.rc.hms.harvard.edu	2348.97	5922.432
