species	method	k	threads	hostname	cputime	mem
spneumoniae	bc	25	4	compute-e-16-185.o2.rc.hms.harvard.edu	30.18	378084
spneumoniae	bc	26	4	compute-e-16-191.o2.rc.hms.harvard.edu	25.33	340300
spneumoniae	bc	27	4	compute-f-17-14.o2.rc.hms.harvard.edu	23.45	371548
spneumoniae	bc	28	4	compute-a-16-136.o2.rc.hms.harvard.edu	28.55	340076
spneumoniae	bc	29	4	compute-f-17-14.o2.rc.hms.harvard.edu	24.81	367280
spneumoniae	bc	30	4	compute-e-16-189.o2.rc.hms.harvard.edu	24.11	345652
spneumoniae	bc	31	4	compute-e-16-186.o2.rc.hms.harvard.edu	25.64	330376
spneumoniae	bc	32	4	compute-a-16-134.o2.rc.hms.harvard.edu	36.3	317928
spneumoniae	pa	11	1	compute-e-16-239.o2.rc.hms.harvard.edu	1.55	63388
spneumoniae	pa	12	1	compute-a-16-163.o2.rc.hms.harvard.edu	3.63	91624
spneumoniae	pa	13	1	compute-e-16-239.o2.rc.hms.harvard.edu	2.55	101516
spneumoniae	pa	14	1	compute-e-16-188.o2.rc.hms.harvard.edu	2.35	105992
spneumoniae	pa	15	1	compute-f-17-12.o2.rc.hms.harvard.edu	2.44	106848
spneumoniae	pa	16	1	compute-e-16-184.o2.rc.hms.harvard.edu	2.38	106592
spneumoniae	pa	17	1	compute-e-16-242.o2.rc.hms.harvard.edu	3.02	106440
spneumoniae	pa	18	1	compute-e-16-191.o2.rc.hms.harvard.edu	2.39	107804
spneumoniae	pa	19	1	compute-e-16-187.o2.rc.hms.harvard.edu	2.23	108192
spneumoniae	pa	20	1	compute-e-16-243.o2.rc.hms.harvard.edu	2.14	108380
spneumoniae	pa	21	1	compute-f-17-11.o2.rc.hms.harvard.edu	3.55	106732
spneumoniae	pa	22	1	compute-f-17-12.o2.rc.hms.harvard.edu	2.39	108540
spneumoniae	pa	23	1	compute-f-17-16.o2.rc.hms.harvard.edu	2.64	107420
spneumoniae	pa	24	1	compute-f-17-14.o2.rc.hms.harvard.edu	2.49	108664
spneumoniae	pa	25	1	compute-e-16-243.o2.rc.hms.harvard.edu	2.78	106840
spneumoniae	pa	26	1	compute-e-16-187.o2.rc.hms.harvard.edu	1.98	108664
spneumoniae	pa	27	1	compute-f-17-11.o2.rc.hms.harvard.edu	2.79	107036
spneumoniae	pa	28	1	compute-f-17-11.o2.rc.hms.harvard.edu	2.85	107080
spneumoniae	pa	29	1	compute-e-16-182.o2.rc.hms.harvard.edu	2.79	109016
spneumoniae	pa	30	1	compute-e-16-189.o2.rc.hms.harvard.edu	3.24	107872
spneumoniae	pa	31	1	compute-e-16-243.o2.rc.hms.harvard.edu	2.72	124540
spneumoniae	pa	32	1	compute-f-17-14.o2.rc.hms.harvard.edu	2.96	125592
yeast	bc	11	1	compute-f-17-16.o2.rc.hms.harvard.edu	152.23	1104132
yeast	bc	12	1	compute-e-16-190.o2.rc.hms.harvard.edu	269.86	1143712
yeast	bc	13	1	compute-e-16-182.o2.rc.hms.harvard.edu	398.52	1130512
yeast	bc	14	1	compute-e-16-188.o2.rc.hms.harvard.edu	353.6	1144496
yeast	bc	15	1	compute-e-16-188.o2.rc.hms.harvard.edu	307.61	1117240
yeast	bc	16	1	compute-e-16-186.o2.rc.hms.harvard.edu	302.49	1124556
yeast	bc	17	1	compute-e-16-183.o2.rc.hms.harvard.edu	279.03	1150364
yeast	bc	18	1	compute-e-16-181.o2.rc.hms.harvard.edu	262.94	1148892
yeast	bc	19	1	compute-e-16-188.o2.rc.hms.harvard.edu	249.05	1107004
yeast	bc	20	1	compute-f-17-14.o2.rc.hms.harvard.edu	270.8	1110168
yeast	bc	21	1	compute-e-16-183.o2.rc.hms.harvard.edu	261.23	1082396
yeast	bc	22	1	compute-e-16-188.o2.rc.hms.harvard.edu	228.9	1059292
yeast	bc	23	1	compute-e-16-241.o2.rc.hms.harvard.edu	256.71	1002584
yeast	bc	24	1	compute-e-16-238.o2.rc.hms.harvard.edu	263.66	989556
yeast	bc	25	1	compute-e-16-186.o2.rc.hms.harvard.edu	287.96	813272
yeast	bc	26	1	compute-e-16-241.o2.rc.hms.harvard.edu	253.72	902332
yeast	bc	27	1	compute-e-16-241.o2.rc.hms.harvard.edu	257.64	831020
yeast	bc	28	1	compute-e-16-190.o2.rc.hms.harvard.edu	237.88	813868
yeast	bc	29	1	compute-e-16-183.o2.rc.hms.harvard.edu	257.72	814028
yeast	bc	30	1	compute-e-16-188.o2.rc.hms.harvard.edu	242.49	814264
yeast	bc	31	1	compute-e-16-188.o2.rc.hms.harvard.edu	245.3	814268
yeast	bc	32	1	compute-e-16-241.o2.rc.hms.harvard.edu	480.14	990464
yeast	bc	11	4	compute-e-16-241.o2.rc.hms.harvard.edu	93.85	1164740
yeast	bc	12	4	compute-a-16-50.o2.rc.hms.harvard.edu	203.0	1134400
yeast	bc	13	4	compute-f-17-16.o2.rc.hms.harvard.edu	265.04	1182780
yeast	bc	14	4	compute-e-16-184.o2.rc.hms.harvard.edu	204.61	1155840
yeast	bc	15	4	compute-e-16-190.o2.rc.hms.harvard.edu	135.67	1167208
yeast	bc	16	4	compute-e-16-180.o2.rc.hms.harvard.edu	118.99000000000001	1148668
yeast	bc	17	4	compute-a-17-87.o2.rc.hms.harvard.edu	110.96000000000001	1130508
yeast	bc	18	4	compute-e-16-189.o2.rc.hms.harvard.edu	96.85	1131856
yeast	bc	19	4	compute-e-16-192.o2.rc.hms.harvard.edu	92.53	1127500
yeast	bc	20	4	compute-e-16-238.o2.rc.hms.harvard.edu	90.65	1134388
yeast	bc	21	4	compute-e-16-186.o2.rc.hms.harvard.edu	93.88	1143188
yeast	bc	22	4	compute-a-16-99.o2.rc.hms.harvard.edu	102.17	1077588
yeast	bc	23	4	compute-a-17-85.o2.rc.hms.harvard.edu	108.50999999999999	1047468
yeast	bc	24	4	compute-e-16-192.o2.rc.hms.harvard.edu	108.19	330432
yeast	bc	25	4	compute-e-16-188.o2.rc.hms.harvard.edu	84.69	986752
yeast	bc	26	4	compute-a-16-87.o2.rc.hms.harvard.edu	91.03	909280
yeast	bc	27	4	compute-a-16-155.o2.rc.hms.harvard.edu	90.6	875184
yeast	bc	28	4	compute-e-16-240.o2.rc.hms.harvard.edu	87.1	860184
yeast	bc	29	4	compute-f-17-16.o2.rc.hms.harvard.edu	94.24000000000001	853912
yeast	bc	30	4	compute-a-17-104.o2.rc.hms.harvard.edu	98.53999999999999	740268
yeast	bc	31	4	compute-e-16-192.o2.rc.hms.harvard.edu	83.34	787324
yeast	bc	32	4	compute-e-16-187.o2.rc.hms.harvard.edu	175.55	790716
yeast	pa	11	1	compute-e-16-188.o2.rc.hms.harvard.edu	3.81	99316
yeast	pa	12	1	compute-a-16-66.o2.rc.hms.harvard.edu	8.06	243648
yeast	pa	13	1	compute-e-16-242.o2.rc.hms.harvard.edu	11.32	345796
yeast	pa	14	1	compute-e-16-180.o2.rc.hms.harvard.edu	11.94	488992
yeast	pa	15	1	compute-a-17-76.o2.rc.hms.harvard.edu	16.93	508656
yeast	pa	16	1	compute-a-16-111.o2.rc.hms.harvard.edu	18.03	518612
yeast	pa	17	1	compute-e-16-185.o2.rc.hms.harvard.edu	17.99	522204
yeast	pa	18	1	compute-f-17-12.o2.rc.hms.harvard.edu	13.25	523676
yeast	pa	19	1	compute-e-16-193.o2.rc.hms.harvard.edu	15.11	524396
yeast	pa	20	1	compute-a-17-67.o2.rc.hms.harvard.edu	15.29	524848
yeast	pa	21	1	compute-e-16-239.o2.rc.hms.harvard.edu	16.1	525192
yeast	pa	22	1	compute-e-16-243.o2.rc.hms.harvard.edu	15.86	525464
yeast	pa	23	1	compute-e-16-193.o2.rc.hms.harvard.edu	14.56	525704
yeast	pa	24	1	compute-e-16-192.o2.rc.hms.harvard.edu	17.19	525920
yeast	pa	25	1	compute-e-16-184.o2.rc.hms.harvard.edu	17.08	526116
yeast	pa	26	1	compute-a-16-88.o2.rc.hms.harvard.edu	18.49	526292
yeast	pa	27	1	compute-e-16-192.o2.rc.hms.harvard.edu	16.41	526460
yeast	pa	28	1	compute-f-17-15.o2.rc.hms.harvard.edu	14.96	526616
yeast	pa	29	1	compute-a-16-136.o2.rc.hms.harvard.edu	24.75	526760
yeast	pa	30	1	compute-e-16-240.o2.rc.hms.harvard.edu	16.1	526900
yeast	pa	31	1	compute-e-16-242.o2.rc.hms.harvard.edu	19.0	527032
yeast	pa	32	1	compute-a-17-112.o2.rc.hms.harvard.edu	17.72	527156
