experiment	method	k	compressed	size	kmers	bits_per_kmer
pangenome-spneumoniae	simplitigs	31	FALSE	15869019	9634685	13.176575259076971
pangenome-spneumoniae	simplitigs	31	TRUE	2929592	9634685	2.4325378567124925
pangenome-spneumoniae	unitigs	18	FALSE	21413088	7372346	23.236118326513704
pangenome-spneumoniae	unitigs	18	TRUE	4942144	7372346	5.362899679423619
pangenome-spneumoniae	unitigs	31	FALSE	28419230	9634685	23.597433647285822
pangenome-spneumoniae	unitigs	31	TRUE	5275124	9634685	4.3801112335276144
spneumoniae	assembly	18	FALSE	2221320	2123906	8.366923959911597
spneumoniae	assembly	18	TRUE	558568	2123906	2.1039273866169217
spneumoniae	assembly	31	FALSE	2221320	2145215	8.283813044380167
spneumoniae	assembly	31	TRUE	558568	2145215	2.0830285076321022
spneumoniae	boss	18	FALSE	2498560	2123906	9.411188630758613
spneumoniae	boss	18	TRUE	778132	2123906	2.930947038145756
spneumoniae	boss	31	FALSE	2519040	2145215	9.394079381320754
spneumoniae	boss	31	TRUE	765624	2145215	2.8551879415349974
spneumoniae	simplitigs	18	FALSE	2176649	2123906	8.198664159336618
spneumoniae	simplitigs	18	TRUE	568764	2123906	2.1423320994431956
spneumoniae	simplitigs	31	FALSE	2184996	2145215	8.14835249613675
spneumoniae	simplitigs	31	TRUE	563384	2145215	2.100988479010262
spneumoniae	unitigs	18	FALSE	2332772	2123906	8.786724082892558
spneumoniae	unitigs	18	TRUE	615968	2123906	2.320132811904105
spneumoniae	unitigs	31	FALSE	2268166	2145215	8.458512550024123
spneumoniae	unitigs	31	TRUE	581420	2145215	2.1682488701598674
yeast	assembly	18	FALSE	12157198	11456651	8.48918100062575
yeast	assembly	18	TRUE	3002516	11456651	2.096609908078722
yeast	assembly	31	FALSE	12157198	11564096	8.410305829353199
yeast	assembly	31	TRUE	3002516	11564096	2.0771297644018176
yeast	boss	18	FALSE	13332480	11456651	9.309862018141253
yeast	boss	18	TRUE	4098436	11456651	2.8618736836794625
yeast	boss	31	FALSE	13393920	11564096	9.26586565867319
yeast	boss	31	TRUE	3972528	11564096	2.748180575463919
yeast	simplitigs	18	FALSE	11924621	11456651	8.32677612331911
yeast	simplitigs	18	TRUE	3113840	11456651	2.1743457141183753
yeast	simplitigs	31	FALSE	11707959	11564096	8.099523905716453
yeast	simplitigs	31	TRUE	3009068	11564096	2.0816624144247853
yeast	unitigs	18	FALSE	14162511	11456651	9.889459668449357
yeast	unitigs	18	TRUE	3721928	11456651	2.5989640428079723
yeast	unitigs	31	FALSE	12003020	11564096	8.303646043754739
yeast	unitigs	31	TRUE	3075168	11564096	2.1273901565673614
