name	simplitigs	cum len	kmers
bc19_solid10.fa	296487238	8631760892	3294990608
bc23_solid10.fa	125667513	6307131626	3542446340
bc27_solid10.fa	97702617	6234247797	3693979755
bc31_solid10.fa	84902171	6366748929	3819683799
pa19_solid10.fa	66071263	4484240607	3294957873
pa23_solid10.fa	39769600	4417341696	3542410496
pa27_solid10.fa	29391713	4458132399	3693947861
pa31_solid10.fa	27801528	4653771668	3819725828
