species	genomes
acinetobacter_indicus	14
acinetobacter_pittii	16
acinetobacter_sp	20
aeromonas_hydrophila	25
aeromonas_salmonicida	14
aeromonas_veronii	12
akkermansia_muciniphila	26
alteromonas_mediterranea	15
arthrobacter_sp	18
bacillus_altitudinis	11
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_cereus	59
bacillus_cytotoxicus	11
bacillus_licheniformis	28
bacillus_sp	54
bacillus_velezensis	116
bacteroides_fragilis	14
bifidobacterium_longum	27
bordetella_hinzii	11
bordetella_holmesii	63
borrelia_miyamotoi	11
bradyrhizobium_sp	16
brucella_suis	16
buchnera_aphidicola	29
burkholderia_cenocepacia	18
burkholderia_multivorans	14
burkholderia_sp	22
burkholderia_thailandensis	22
campylobacter_coli	31
campylobacter_jejuni	166
campylobacter_sp	15
candidatus_planktophila	13
candidatus_sulcia	25
chlamydia_muridarum	20
chlamydia_psittaci	22
chlamydia_trachomatis	83
chryseobacterium_sp	16
citrobacter_sp	15
corynebacterium_ulcerans	14
coxiella_burnetii	12
dehalococcoides_mccartyi	24
elizabethkingia_anophelis	21
enterobacter_hormaechei	60
enterobacter_sp	14
enterococcus_faecalis	41
enterococcus_faecium	87
escherichia_albertii	14
francisella_noatunensis	23
fusobacterium_nucleatum	14
glaesserella_parasuis	14
haemophilus_ducreyi	13
haemophilus_influenzae	56
halomonas_sp	14
helicobacter_pylori	157
histophilus_somni	21
hymenobacter_sp	11
klebsiella_michiganensis	14
klebsiella_quasipneumoniae	22
klebsiella_variicola	20
lactobacillus_johnsonii	12
lactobacillus_rhamnosus	20
lactococcus_lactis	38
leclercia_adecarboxylata	11
leptospira_interrogans	16
leuconostoc_mesenteroides	19
mannheimia_haemolytica	83
mesorhizobium_sp	13
microbacterium_sp	16
mycobacteroides_abscessus	34
nocardioides_sp	13
paenibacillus_sp	25
pasteurella_multocida	61
pectobacterium_parmentieri	12
pediococcus_acidilactici	15
pediococcus_pentosaceus	15
phaeobacter_inhibens	22
piscirickettsia_salmonis	78
planctomycetes_bacterium	26
porphyromonas_gingivalis	21
pseudoalteromonas_sp	11
pseudomonas_chlororaphis	44
pseudomonas_sp	100
rhizobium_sp	24
rhodococcus_sp	24
rickettsia_japonica	14
rickettsia_rickettsii	11
serratia_sp	17
shewanella_sp	11
sphingomonas_sp	19
staphylococcus_aureus	464
staphylococcus_epidermidis	20
stenotrophomonas_maltophilia	37
streptococcus_agalactiae	81
streptococcus_mutans	16
streptococcus_pneumoniae	53
streptococcus_pyogenes	140
streptococcus_salivarius	13
streptococcus_sp	18
streptococcus_suis	42
streptococcus_thermophilus	28
streptomyces_sp	76
synechococcus_sp	25
vibrio_alginolyticus	26
vibrio_anguillarum	14
vibrio_cholerae	58
vibrio_parahaemolyticus	54
vibrio_sp	12
vibrio_vulnificus	19
wolbachia_endosymbiont	17
yersinia_pestis	31
yersinia_pseudotuberculosis	21
