name	simplitigs	cum len	kmers
bc19.fasta	555036239	29174456931	19183804629
bc23.fasta	243674152	24997881509	19637050165
bc27.fasta	192642961	24938529039	19929812053
bc31.fasta	165482712	25137346324	20172864964
pa19.fasta	129356161	21512138014	19183727116
pa23.fasta	77802213	21348627552	19636978866
pa27.fasta	59091651	21466163887	19929780961
pa31.fasta	54276168	21801252886	20172967846
