name	simplitigs	cum len	kmers
acholeplasma_brassicae.bc31.fsa	613	1855065	1836675
acholeplasma_brassicae.pa19.fsa	533	1842750	1833156
acholeplasma_brassicae.pa23.fsa	282	1840959	1834755
acholeplasma_brassicae.pa27.fsa	224	1841622	1835798
acholeplasma_brassicae.pa31.fsa	205	1842825	1836675
acholeplasma_palmae.bc19.fsa	3896	1594446	1524318
acholeplasma_palmae.bc23.fsa	727	1542069	1526075
acholeplasma_palmae.bc27.fsa	508	1540096	1526888
acholeplasma_palmae.bc31.fsa	433	1540520	1527530
acholeplasma_palmae.pa19.fsa	749	1537800	1524318
acholeplasma_palmae.pa23.fsa	235	1531245	1526075
acholeplasma_palmae.pa27.fsa	170	1531308	1526888
acholeplasma_palmae.pa31.fsa	149	1532000	1527530
achromobacter_denitrificans.bc19.fsa	589402	24301279	13692043
achromobacter_denitrificans.bc23.fsa	209689	18708978	14095820
achromobacter_denitrificans.bc27.fsa	160761	18516060	14336274
achromobacter_denitrificans.bc31.fsa	131268	18466517	14528477
achromobacter_denitrificans.pa19.fsa	133272	16090939	13692043
achromobacter_denitrificans.pa23.fsa	66731	15563902	14095820
achromobacter_denitrificans.pa27.fsa	50019	15636768	14336274
achromobacter_denitrificans.pa31.fsa	43035	15819527	14528477
achromobacter_insolitus.bc19.fsa	243175	13006388	8629238
achromobacter_insolitus.bc23.fsa	179106	12828078	8887746
achromobacter_insolitus.bc27.fsa	170170	13545191	9120771
achromobacter_insolitus.bc31.fsa	163936	14262229	9344149
achromobacter_insolitus.pa19.fsa	69835	9886268	8629238
achromobacter_insolitus.pa23.fsa	59082	10187550	8887746
achromobacter_insolitus.pa27.fsa	55859	10573105	9120771
achromobacter_insolitus.pa31.fsa	54404	10976269	9344149
achromobacter_sp.bc19.fsa	357900	18806759	12364559
achromobacter_sp.bc23.fsa	83443	14398479	12562733
achromobacter_sp.bc27.fsa	49419	13930524	12645630
achromobacter_sp.bc31.fsa	30701	13617786	12696756
achromobacter_sp.pa19.fsa	74506	13705667	12364559
achromobacter_sp.pa23.fsa	25556	13124965	12562733
achromobacter_sp.pa27.fsa	14232	13015662	12645630
achromobacter_sp.pa31.fsa	9827	12991566	12696756
achromobacter_spanius.bc19.fsa	651627	28277776	16548490
achromobacter_spanius.bc23.fsa	331582	24404965	17110161
achromobacter_spanius.bc27.fsa	246994	23910867	17489023
achromobacter_spanius.bc31.fsa	187283	23392193	17773703
achromobacter_spanius.pa19.fsa	169933	19607284	16548490
achromobacter_spanius.pa23.fsa	106905	19462071	17110161
achromobacter_spanius.pa27.fsa	74732	19432055	17489023
achromobacter_spanius.pa31.fsa	61255	19611353	17773703
achromobacter_xylosoxidans.bc19.fsa	2150188	67032624	28329240
achromobacter_xylosoxidans.bc23.fsa	991043	51900942	30097996
achromobacter_xylosoxidans.bc27.fsa	773212	51375257	31271745
