species	genomes
acetobacter_ascendens	3
achromobacter_denitrificans	3
achromobacter_insolitus	3
achromobacter_spanius	3
achromobacter_xylosoxidans	7
acidithiobacillus_caldus	3
acidovorax_carolinensis	4
acidovorax_citrulli	3
acidovorax_sp	6
acinetobacter_indicus	14
acinetobacter_johnsonii	5
acinetobacter_junii	3
acinetobacter_nosocomialis	9
acinetobacter_pittii	16
acinetobacter_radioresistens	4
acinetobacter_schindleri	6
acinetobacter_sp	20
actinobacillus_pleuropneumoniae	6
actinobacteria_bacterium	5
actinomyces_sp	9
actinoplanes_sp	4
aeromicrobium_sp	3
aeromonas_caviae	5
aeromonas_hydrophila	25
aeromonas_salmonicida	14
aeromonas_sp	8
aeromonas_veronii	12
aggregatibacter_actinomycetemcomitans	10
aggregatibacter_aphrophilus	3
agrobacterium_fabrum	3
agrobacterium_sp	4
agromyces_sp	3
akkermansia_muciniphila	26
alicycliphilus_denitrificans	3
alteromonas_mediterranea	15
alteromonas_sp	6
alteromonas_stellipolaris	4
amycolatopsis_mediterranei	4
amycolatopsis_sp	3
anabaena_sp	3
anaplasma_phagocytophilum	4
anoxybacillus_sp	3
apibacter_sp	3
aquimarina_sp	3
arachidicoccus_sp	3
arthrobacter_alpinus	3
arthrobacter_sp	18
avibacterium_paragallinarum	9
azoarcus_sp	7
azospirillum_brasilense	7
azospirillum_sp	6
bacillaceae_bacterium	4
bacillus_altitudinis	11
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_cereus	59
bacillus_clausii	3
bacillus_coagulans	9
bacillus_cytotoxicus	11
bacillus_licheniformis	28
bacillus_megaterium	6
bacillus_paralicheniformis	9
bacillus_paranthracis	4
bacillus_safensis	6
bacillus_sp	54
bacillus_vallismortis	3
bacillus_velezensis	116
bacteroides_fragilis	14
bartonella_bacilliformis	3
bartonella_quintana	3
bartonella_sp	6
bdellovibrio_bacteriovorus	5
bibersteinia_trehalosi	4
bifidobacterium_longum	27
blattabacterium_cuenoti	3
blattabacterium_punctulatus	10
blattabacterium_sp	8
blautia_sp	3
blochmannia_endosymbiont	3
bordetella_genomosp	5
bordetella_hinzii	11
bordetella_holmesii	63
bordetella_trematum	3
borrelia_miyamotoi	11
borreliella_afzelii	4
borreliella_burgdorferi	10
borreliella_garinii	5
bosea_sp	6
brachybacterium_sp	4
brachyspira_hyodysenteriae	3
brachyspira_pilosicoli	3
bradyrhizobium_diazoefficiens	7
bradyrhizobium_sp	16
bradyrhizobium_symbiodeficiens	4
brevibacillus_brevis	4
brevibacterium_aurantiacum	6
brevibacterium_sp	5
brevundimonas_naejangsanensis	3
brevundimonas_sp	8
brucella_abortus	4
brucella_canis	8
brucella_melitensis	4
brucella_sp	6
brucella_suis	16
buchnera_aphidicola	29
burkholderia_ambifaria	3
burkholderia_cenocepacia	18
burkholderia_contaminans	5
burkholderia_lata	3
burkholderia_multivorans	14
burkholderia_oklahomensis	4
burkholderia_sp	22
burkholderia_thailandensis	22
burkholderia_ubonensis	6
burkholderia_vietnamiensis	6
calothrix_sp	7
campylobacter_coli	31
campylobacter_concisus	3
campylobacter_fetus	9
campylobacter_hyointestinalis	3
campylobacter_iguaniorum	3
campylobacter_jejuni	166
campylobacter_lari	9
campylobacter_pinnipediorum	5
campylobacter_sp	15
campylobacter_sputorum	5
campylobacter_volucris	3
candidatus_arthromitus	4
candidatus_blochmannia	4
candidatus_carsonella	7
candidatus_kinetoplastibacterium	8
candidatus_liberibacter	8
candidatus_nanopelagicus	3
candidatus_nasuia	3
candidatus_pelagibacter	3
candidatus_phytoplasma	3
candidatus_planktophila	13
candidatus_portiera	8
candidatus_rhodoluna	4
candidatus_saccharibacteria	8
candidatus_sulcia	25
candidatus_thioglobus	3
capnocytophaga_sp	6
capnocytophaga_sputigena	3
caulobacter_vibrioides	6
cedecea_neteri	4
cellulomonas_sp	5
cellulophaga_lytica	3
cellvibrio_sp	4
chitinophaga_sp	4
chlamydia_abortus	4
chlamydia_muridarum	20
chlamydia_pecorum	4
chlamydia_pneumoniae	5
chlamydia_psittaci	22
chlamydia_trachomatis	83
chromobacterium_sp	4
chryseobacterium_shandongense	3
chryseobacterium_sp	16
citrobacter_amalonaticus	4
citrobacter_braakii	3
citrobacter_freundii	4
citrobacter_portucalensis	6
citrobacter_sp	15
citrobacter_werkmanii	4
clostridium_chauvoei	3
clostridium_saccharobutylicum	5
clostridium_sp	8
collimonas_arenae	3
collinsella_aerofaciens	4
colwellia_sp	6
corynebacterium_jeikeium	3
corynebacterium_sp	9
corynebacterium_striatum	3
corynebacterium_ulcerans	14
coxiella_burnetii	12
cupriavidus_metallidurans	4
cupriavidus_necator	4
curtobacterium_sp	3
dehalococcoides_mccartyi	24
deinococcus_radiodurans	5
deinococcus_sp	3
desulfovibrio_desulfuricans	3
desulfovibrio_vulgaris	4
devosia_sp	3
dickeya_fangzhongdai	3
dickeya_solani	6
dickeya_zeae	5
dietzia_sp	3
dokdonia_sp	3
edwardsiella_ictaluri	3
edwardsiella_piscicida	4
edwardsiella_tarda	5
ehrlichia_chaffeensis	8
ehrlichia_ruminantium	3
elizabethkingia_anophelis	21
elizabethkingia_miricola	3
endosymbiont_of	7
enterobacter_asburiae	9
enterobacter_cloacae	5
enterobacter_hormaechei	60
enterobacter_kobei	6
enterobacter_ludwigii	9
enterobacter_roggenkampii	8
enterobacter_sp	14
enterobacteriaceae_bacterium	6
enterococcus_casseliflavus	3
enterococcus_durans	3
enterococcus_faecalis	41
enterococcus_faecium	87
enterococcus_hirae	4
enterococcus_mundtii	5
enterococcus_sp	5
erwinia_sp	3
erysipelothrix_sp	4
erythrobacter_flavus	3
erythrobacter_sp	3
escherichia_albertii	14
ethanoligenens_harbinense	5
exiguobacterium_sp	4
faecalibacterium_prausnitzii	5
flavobacteriaceae_bacterium	5
flavobacterium_columnare	6
flavobacterium_psychrophilum	9
flavobacterium_sp	6
formosa_sp	3
francisella_noatunensis	23
francisella_opportunistica	3
fusobacterium_hwasookii	3
fusobacterium_necrophorum	5
fusobacterium_nucleatum	14
fusobacterium_pseudoperiodonticum	9
geobacillus_sp	7
geobacillus_subterraneus	3
geobacillus_thermodenitrificans	4
geobacillus_thermoleovorans	4
geobacter_sp	3
geobacter_sulfurreducens	3
georgenia_sp	3
glaesserella_parasuis	14
gordonia_sp	5
granulibacter_bethesdensis	10
grimontia_hollisae	4
haemophilus_ducreyi	13
haemophilus_haemolyticus	3
haemophilus_influenzae	56
haemophilus_parainfluenzae	3
halomonas_meridiana	3
halomonas_sp	14
helicobacter_cinaedi	6
helicobacter_pylori	157
herbaspirillum_seropedicae	4
histophilus_somni	21
hydrogenobaculum_sp	5
hydrogenophaga_sp	6
hymenobacter_sp	11
janthinobacterium_sp	6
ketogulonicigenium_vulgare	5
klebsiella_michiganensis	14
klebsiella_quasipneumoniae	22
klebsiella_sp	7
